id_jugador,nombre,posicion,id_equipo
259,R. Yaremchuk,Delantero,7
260,Sergi Canós,Delantero,7
261,F. Jörgensen,Portero,8
262,Iker Álvarez,Portero,8
263,Pepe Reina,Portero,8
264,A. Altimira,Defensa,8
265,A. Pedraza,Defensa,8
266,Abraham,Defensa,8
267,Aïssa Mandi,Defensa,8
268,Alberto Moreno,Defensa,8
269,Carlos Romero,Defensa,8
270,Dani Budesca,Defensa,8
271,Eric Bailly,Defensa,8
272,Jorge Cuenca,Defensa,8
273,Juan Foyth,Defensa,8
274,Kiko Femenía,Defensa,8
275,Raúl Albiol,Defensa,8
276,Stefan Leković,Defensa,8
277,Yerson Mosquera,Defensa,8
278,Álex Baena,Centrocampista,8
279,Dani Parejo,Centrocampista,8
280,Denis Suárez,Centrocampista,8
281,É. Capoue,Centrocampista,8
282,F. Coquelin,Centrocampista,8
283,Manu Trigueros,Centrocampista,8
284,Ramón Terrats,Centrocampista,8
285,Santi Comesaña,Centrocampista,8
286,A. Sørloth,Delantero,8
287,B. Traoré,Delantero,8
288,Gerard Moreno,Delantero,8
289,Gonçalo Guedes,Delantero,8
290,Ilias Akhomach,Delantero,8
291,Jorge Pascual,Delantero,8
292,Morales,Delantero,8
293,Yéremy Pino,Delantero,8
294,D. Fuzato,Portero,9
295,D. Medenica,Portero,9
296,David Soria,Portero,9
297,Jorge Benito,Portero,9
298,A. Herranz,Defensa,9
299,Carmona,Defensa,9
300,D. Djené,Defensa,9
301,D. Duarte,Defensa,9
302,Diego Rico,Defensa,9
303,F. Angileri,Defensa,9
304,G. Álvarez,Defensa,9
305,Gorka,Defensa,9
306,Juan Iglesias,Defensa,9
307,N. Aberdin,Defensa,9
308,O. Alderete,Defensa,9
309,S. Gimeno,Defensa,9
310,Alberto Risco,Centrocampista,9
311,C. Aleñá,Centrocampista,9
312,Diego López,Centrocampista,9
313,Facu Esnaider,Centrocampista,9
314,Ilaix Moriba,Centrocampista,9
315,J. Patrick,Centrocampista,9
316,Luis Milla,Centrocampista,9
317,M. Arambarri,Centrocampista,9
318,N. Maksimović,Centrocampista,9
319,Óscar Rodríguez,Centrocampista,9
320,Santi García,Centrocampista,9
321,Yellu Santiago,Centrocampista,9
322,B. Mayoral,Delantero,9
323,J. Mata,Delantero,9
324,Jordi Martín,Delantero,9
325,Latasa,Delantero,9
326,M. Greenwood,Delantero,9
